date,temperature,temperature_normal,min_temperature,min_temperature_normal,min_temperature_record,max_temperature,max_temperature_normal,max_temperature_record,precip,precipnormal,preciprecord
19910109,24,None,19,None,-4,30,None,64,0.4,None,2.14
19910110,26,None,15,None,-3,35,None,58,0.0,None,2.86
19910111,16,None,8,None,-4,26,None,62,0.17,None,1.41
19910112,28,None,21,None,-10,36,None,61,0.92,None,1.65
19910113,26,None,23,None,-9,28,None,63,0.0,None,1.36
19910114,26,None,19,None,-8,33,None,69,0.0,None,1.23
19910115,36,None,28,None,-12,43,None,66,0.0,None,1.79
19910116,37,None,30,None,-7,44,None,64,0.77,None,1.22
19910117,42,None,37,None,-4,48,None,59,0.25,None,1.25
19910118,35,None,33,None,-3,37,None,63,0.0,None,1.41
19910119,30,None,24,None,-6,37,None,61,0.0,None,1.81
19910120,42,None,35,None,-3,48,None,60,0.0,None,2.05
19910121,27,None,15,None,0,37,None,68,0.2,None,2.52
19910122,10,None,3,None,-3,16,None,66,0.0,None,2.0
19910123,20,None,9,None,-6,32,None,68,0.0,None,1.48
19910124,30,None,25,None,-13,34,None,62,0.0,None,1.53
19910125,19,None,14,None,-5,24,None,59,0.0,None,2.08
19910126,20,None,12,None,0,28,None,72,0.0,None,1.18
19910127,31,None,26,None,-6,36,None,63,0.01,None,1.82
19910128,38,None,30,None,-5,46,None,63,0.04,None,1.68
19910129,38,None,30,None,-6,46,None,65,0.0,None,1.27
19910130,42,None,36,None,-5,48,None,63,0.02,None,1.01
19910131,32,None,25,None,-8,39,None,62,0.25,None,1.02
19910201,24,None,19,None,-7,28,None,66,0.0,None,1.14
19910202,36,None,21,None,-5,51,None,55,0.0,None,1.29
19910203,48,None,39,None,-5,57,None,59,0.0,None,1.42
19910204,52,None,41,None,-2,63,None,64,0.0,None,2.55
19910205,54,None,44,None,-10,64,None,65,0.0,None,1.77
19910206,46,None,39,None,-6,54,None,57,0.0,None,1.4
19910207,40,None,39,None,-5,42,None,56,0.67,None,1.93
19910208,42,None,37,None,-12,46,None,66,0.0,None,1.52
19910209,44,None,35,None,-18,54,None,61,0.0,None,1.67
19910210,40,None,34,None,-5,46,None,60,0.0,None,1.73
19910211,28,None,21,None,-4,33,None,62,0.0,None,1.67
19910212,16,None,9,None,-11,23,None,58,0.0,None,4.45
19910213,26,None,19,None,-4,34,None,66,0.02,None,2.66
19910214,41,None,34,None,-9,48,None,59,0.48,None,1.62
19910215,35,None,26,None,-14,42,None,61,0.06,None,1.56
19910216,18,None,12,None,-9,24,None,60,0.0,None,2.64
19910217,28,None,18,None,-11,37,None,61,0.0,None,1.6
19910218,30,None,27,None,-4,34,None,66,0.0,None,1.91
19910219,40,None,33,None,4,50,None,65,0.23,None,2.4
19910220,48,None,37,None,0,57,None,70,0.0,None,1.87
19910221,42,None,34,None,-1,50,None,72,0.11,None,2.45
19910222,49,None,35,None,2,62,None,66,0.0,None,1.84
19910223,26,None,17,None,-3,35,None,68,0.0,None,1.36
19910224,26,None,16,None,-7,36,None,73,0.0,None,2.42
19910225,34,None,30,None,-6,39,None,69,0.0,None,2.15
19910226,31,None,28,None,-1,34,None,68,0.04,None,1.75
19910227,32,None,28,None,-4,35,None,64,0.04,None,1.37
19910228,34,None,26,None,2,41,None,63,0.0,None,2.01
19910301,50,None,36,None,-1,63,None,63,0.0,None,1.72
19910302,56,None,48,None,0,64,None,66,0.3,None,2.3
19910303,49,None,39,None,4,59,None,61,0.1,None,1.95
19910304,42,None,39,None,2,44,None,70,1.43,None,2.64
19910305,42,None,37,None,-4,46,None,72,0.0,None,1.28
19910306,40,None,32,None,-8,48,None,70,0.0,None,2.15
19910307,46,None,33,None,2,57,None,69,0.31,None,1.91
19910308,32,None,26,None,7,39,None,68,0.0,None,1.88
19910309,32,None,24,None,5,39,None,77,0.0,None,2.14
19910310,30,None,23,None,6,37,None,71,0.01,None,2.14
19910311,31,None,23,None,9,39,None,67,0.02,None,1.94
19910312,37,None,28,None,7,46,None,71,0.0,None,1.55
19910313,37,None,30,None,3,44,None,73,0.0,None,1.83
19910314,38,None,35,None,12,41,None,76,0.16,None,3.4
19910315,34,None,30,None,12,37,None,72,0.15,None,2.11
19910316,40,None,32,None,10,48,None,71,0.0,None,2.15
19910317,45,None,33,None,10,57,None,70,0.0,None,1.58
19910318,44,None,37,None,5,50,None,74,0.06,None,3.49
19910319,47,None,44,None,5,50,None,74,0.12,None,1.35
19910320,45,None,37,None,10,53,None,79,0.0,None,1.58
19910321,40,None,33,None,7,48,None,83,0.0,None,2.5
19910322,36,None,33,None,8,39,None,83,0.4,None,2.59
19910323,38,None,36,None,6,39,None,78,0.66,None,2.22
19910324,36,None,35,None,6,37,None,72,0.12,None,1.44
19910325,37,None,35,None,10,39,None,78,0.01,None,1.5
19910326,42,None,37,None,13,48,None,79,0.0,None,2.56
19910327,44,None,37,None,16,50,None,79,0.03,None,1.13
19910328,64,None,50,None,11,78,None,85,0.0,None,2.43
