date,temperature,temperature_normal,min_temperature,min_temperature_normal,min_temperature_record,max_temperature,max_temperature_normal,max_temperature_record,precip,precipnormal,preciprecord
19900820,85,None,75,None,66,95,None,101,0.0,None,2.45
19900821,85,None,75,None,60,95,None,101,0.0,None,2.05
19900822,83,None,75,None,62,91,None,106,0.12,None,1.45
19900823,83,None,77,None,64,89,None,101,0.1,None,1.99
19900824,86,None,75,None,65,96,None,100,0.0,None,1.67
19900825,86,None,73,None,67,98,None,98,0.0,None,1.81
19900826,88,None,75,None,66,100,None,100,0.0,None,12.07
19900827,90,None,79,None,65,102,None,106,0.0,None,14.58
19900828,84,None,75,None,65,93,None,103,0.0,None,9.41
19900829,86,None,77,None,65,95,None,103,0.0,None,3.37
19900830,88,None,77,None,66,98,None,102,0.0,None,3.1
19900831,86,None,73,None,68,100,None,104,0.0,None,6.7
19900901,82,None,72,None,66,91,None,104,0.0,None,2.87
19900902,81,None,72,None,68,90,None,104,0.15,None,1.27
19900903,82,None,75,None,65,89,None,103,0.0,None,3.33
19900904,86,None,77,None,59,95,None,108,0.0,None,3.05
19900905,86,None,77,None,53,96,None,107,0.0,None,4.62
19900906,85,None,77,None,59,93,None,97,0.0,None,2.31
19900907,84,None,75,None,64,93,None,98,0.0,None,2.83
19900908,84,None,75,None,58,93,None,97,0.03,None,1.8
19900909,80,None,73,None,58,87,None,98,0.27,None,2.34
19900910,78,None,73,None,64,82,None,98,0.79,None,3.41
19900911,76,None,73,None,62,80,None,100,0.17,None,5.87
19900912,76,None,73,None,55,78,None,99,0.25,None,2.12
19900913,77,None,73,None,54,81,None,101,1.75,None,8.08
19900914,82,None,73,None,55,91,None,98,0.0,None,2.37
19900915,83,None,75,None,56,91,None,96,0.02,None,2.85
19900916,82,None,75,None,59,90,None,96,0.0,None,2.22
19900917,82,None,75,None,58,89,None,97,0.1,None,2.59
19900918,83,None,75,None,57,91,None,97,0.0,None,2.32
19900919,83,None,77,None,55,89,None,101,0.18,None,8.83
19900920,84,None,77,None,59,90,None,98,0.21,None,2.64
19900921,83,None,75,None,52,91,None,100,0.03,None,3.28
19900922,83,None,75,None,53,91,None,99,0.0,None,3.86
19900923,78,None,71,None,54,84,None,96,0.0,None,4.6
19900924,66,None,57,None,54,75,None,94,0.0,None,2.6
19900925,72,None,62,None,55,82,None,97,0.0,None,1.76
19900926,76,None,66,None,53,86,None,97,0.0,None,2.31
19900927,78,None,68,None,46,88,None,98,0.0,None,5.62
19900928,78,None,69,None,49,88,None,97,0.0,None,1.3
19900929,77,None,66,None,50,88,None,96,0.0,None,1.7
19900930,80,None,68,None,52,91,None,94,0.0,None,1.15
19901001,80,None,72,None,49,89,None,97,0.0,None,0.89
19901002,79,None,70,None,51,88,None,97,0.04,None,2.24
19901003,82,None,73,None,48,90,None,93,0.0,None,5.14
19901004,82,None,77,None,48,88,None,93,0.02,None,2.78
19901005,80,None,72,None,49,88,None,93,0.0,None,4.53
19901006,82,None,73,None,41,90,None,94,0.0,None,2.37
19901007,82,None,73,None,47,91,None,95,0.0,None,9.95
19901008,83,None,75,None,43,91,None,96,0.0,None,2.0
19901009,67,None,55,None,43,77,None,95,0.29,None,5.11
19901010,58,None,48,None,48,68,None,95,0.0,None,1.26
19901011,60,None,48,None,48,71,None,93,0.0,None,3.89
19901012,64,None,51,None,45,77,None,94,0.0,None,2.71
19901013,66,None,54,None,42,79,None,94,0.0,None,3.38
19901014,71,None,55,None,46,87,None,93,0.0,None,5.42
19901015,76,None,66,None,45,87,None,93,0.0,None,5.06
19901016,74,None,64,None,45,84,None,94,0.01,None,6.96
19901017,77,None,70,None,45,84,None,92,1.58,None,7.86
19901018,69,None,61,None,40,75,None,94,0.0,None,7.23
19901019,62,None,52,None,40,71,None,90,0.0,None,1.28
19901020,70,None,55,None,37,84,None,92,0.0,None,7.02
19901021,66,None,54,None,40,77,None,91,0.64,None,1.5
19901022,58,None,53,None,45,64,None,90,0.0,None,2.05
19901023,58,None,48,None,37,68,None,90,0.0,None,2.25
19901024,62,None,51,None,36,72,None,90,0.0,None,4.53
19901025,62,None,53,None,42,71,None,92,0.0,None,4.7
19901026,58,None,46,None,41,71,None,90,0.0,None,4.6
19901027,63,None,51,None,37,75,None,92,0.0,None,1.43
19901028,66,None,54,None,39,78,None,89,0.0,None,1.57
19901029,66,None,55,None,39,78,None,89,0.0,None,2.65
19901030,66,None,54,None,38,78,None,89,0.0,None,4.86
19901031,66,None,53,None,33,78,None,90,0.0,None,5.3
19901101,67,None,53,None,34,81,None,90,0.0,None,3.08
19901102,72,None,62,None,34,81,None,90,0.33,None,5.63
19901103,74,None,66,None,28,82,None,90,0.0,None,4.35
19901104,64,None,48,None,33,79,None,88,0.08,None,2.29
19901105,52,None,42,None,32,63,None,90,0.0,None,4.3
19901106,54,None,43,None,36,66,None,89,0.0,None,1.98
19901107,63,None,55,None,30,71,None,89,0.0,None,1.09
19901108,60,None,53,None,31,68,None,89,0.12,None,2.12
19901109,56,None,48,None,33,61,None,87,0.02,None,1.88
19901110,55,None,41,None,33,69,None,87,0.0,None,1.74
19901111,57,None,44,None,34,70,None,86,0.0,None,4.28
19901112,60,None,46,None,26,73,None,86,0.0,None,1.56
19901113,62,None,48,None,30,75,None,86,0.0,None,4.05
19901114,62,None,48,None,31,75,None,86,0.0,None,2.76
19901115,66,None,55,None,28,77,None,87,0.07,None,2.29
19901116,70,None,64,None,30,75,None,86,0.02,None,4.19
19901117,67,None,59,None,33,75,None,85,0.0,None,3.36
19901118,66,None,57,None,28,75,None,86,0.0,None,3.18
19901119,72,None,64,None,31,80,None,84,0.02,None,2.84
19901120,74,None,66,None,28,79,None,84,0.0,None,1.33
19901121,72,None,64,None,28,81,None,84,0.0,None,2.33
19901122,73,None,66,None,28,80,None,86,0.08,None,1.69
19901123,62,None,53,None,30,70,None,84,0.0,None,3.11
19901124,60,None,45,None,30,75,None,86,0.0,None,2.46
19901125,72,None,63,None,24,80,None,86,0.0,None,1.82
19901126,76,None,72,None,30,81,None,87,0.0,None,3.05
19901127,76,None,73,None,25,80,None,86,0.05,None,3.05
19901128,64,None,55,None,28,73,None,84,0.0,None,1.61
19901129,56,None,48,None,27,64,None,85,0.0,None,2.12
19901130,50,None,42,None,25,59,None,82,0.0,None,1.05
19901201,59,None,48,None,30,70,None,83,0.0,None,2.71
19901202,68,None,61,None,33,75,None,84,0.03,None,3.43
19901203,60,None,46,None,32,72,None,85,0.0,None,2.25
19901204,46,None,37,None,32,55,None,83,0.0,None,2.55
19901205,46,None,34,None,27,59,None,84,0.0,None,2.8
19901206,55,None,46,None,21,64,None,81,0.3,None,1.17
19901207,52,None,44,None,19,59,None,82,0.01,None,4.95
19901208,48,None,37,None,27,60,None,83,0.0,None,2.99
19901209,50,None,37,None,28,64,None,82,0.0,None,2.52
19901210,56,None,42,None,24,69,None,82,0.0,None,3.26
19901211,62,None,52,None,26,73,None,82,0.07,None,2.24
19901212,68,None,57,None,23,79,None,82,0.0,None,1.49
19901213,66,None,55,None,23,78,None,81,0.0,None,1.91
19901214,72,None,63,None,27,81,None,82,0.02,None,1.88
19901215,72,None,64,None,25,79,None,81,0.0,None,2.13
19901216,72,None,66,None,23,77,None,82,0.02,None,1.8
19901217,75,None,72,None,22,78,None,82,0.01,None,4.18
19901218,62,None,51,None,24,73,None,81,0.2,None,1.65
19901219,56,None,45,None,25,68,None,81,0.0,None,2.37
19901220,68,None,57,None,26,0,None,81,0.05,None,1.6
19901221,58,None,36,None,23,78,None,82,0.45,None,2.68
19901222,30,None,26,None,15,35,None,82,0.02,None,2.82
19901223,27,None,23,None,9,31,None,83,0.02,None,1.67
19901224,30,None,21,None,15,39,None,82,0.0,None,1.68
19901225,36,None,29,None,13,44,None,83,0.0,None,2.04
19901226,48,None,43,None,21,52,None,82,1.5,None,2.47
19901227,46,None,43,None,31,48,None,82,0.01,None,1.38
19901228,58,None,46,None,30,70,None,82,0.01,None,1.76
19901229,73,None,68,None,19,78,None,81,0.01,None,4.45
19901230,51,None,29,None,22,73,None,83,0.03,None,1.88
19901231,32,None,27,None,22,37,None,81,0.0,None,1.3
19910101,41,None,34,None,25,48,None,82,0.0,None,3.61
19910102,50,None,46,None,16,55,None,82,0.64,None,1.64
19910103,50,None,46,None,19,55,None,82,0.49,None,1.77
19910104,47,None,44,None,22,50,None,78,0.0,None,1.86
19910105,56,None,50,None,25,62,None,81,0.0,None,1.35
19910106,61,None,51,None,25,70,None,80,1.05,None,2.13
19910107,48,None,44,None,19,51,None,79,0.02,None,2.27
19910108,48,None,45,None,21,51,None,80,0.02,None,0.93
19910109,54,None,50,None,21,57,None,83,13.01,None,4.06
19910110,56,None,51,None,17,60,None,83,0.02,None,1.35
19910111,50,None,44,None,15,57,None,80,0.0,None,1.96
19910112,47,None,37,None,17,57,None,80,0.0,None,2.17
19910113,49,None,36,None,23,62,None,81,0.0,None,2.09
19910114,57,None,46,None,19,68,None,84,1.88,None,1.88
19910115,56,None,48,None,25,60,None,79,0.0,None,1.35
19910116,53,None,42,None,25,64,None,82,0.0,None,1.84
19910117,54,None,45,None,19,62,None,80,0.0,None,2.38
19910118,52,None,48,None,20,57,None,81,1.99,None,2.24
19910119,50,None,45,None,12,55,None,81,0.0,None,3.41
19910120,55,None,44,None,19,66,None,82,0.0,None,2.3
19910121,42,None,39,None,20,46,None,81,0.0,None,3.97
19910122,40,None,35,None,18,45,None,82,0.0,None,2.35
19910123,50,None,44,None,5,55,None,85,0.02,None,1.42
19910124,51,None,46,None,17,52,None,83,0.16,None,2.3
19910125,52,None,42,None,24,61,None,82,0.0,None,0.93
19910126,51,None,42,None,24,60,None,83,0.0,None,1.56
19910127,56,None,48,None,18,64,None,83,0.0,None,4.1
19910128,58,None,55,None,26,60,None,82,0.01,None,0.94
19910129,63,None,57,None,25,69,None,81,0.03,None,2.14
19910130,51,None,37,None,12,63,None,82,0.09,None,1.7
19910131,48,None,37,None,10,59,None,83,0.0,None,1.92
19910201,50,None,37,None,15,63,None,81,0.27,None,3.88
19910202,52,None,39,None,14,66,None,82,0.0,None,0.94
19910203,58,None,48,None,19,69,None,81,0.09,None,2.4
19910204,60,None,57,None,24,62,None,81,2.61,None,2.6
19910205,60,None,57,None,24,64,None,84,0.0,None,2.27
19910206,62,None,53,None,25,70,None,81,0.0,None,1.83
19910207,58,None,48,None,26,69,None,85,0.0,None,1.96
19910208,58,None,46,None,15,69,None,86,0.0,None,1.02
19910209,58,None,46,None,17,69,None,87,0.0,None,3.71
19910210,60,None,46,None,26,73,None,85,0.0,None,2.24
19910211,64,None,52,None,20,75,None,83,0.0,None,1.84
19910212,65,None,57,None,25,73,None,85,0.0,None,3.54
19910213,69,None,61,None,26,77,None,84,0.0,None,0.99
19910214,66,None,55,None,27,78,None,81,0.0,None,1.8
19910215,54,None,48,None,31,60,None,84,0.0,None,1.05
19910216,53,None,43,None,28,64,None,83,0.04,None,1.42
19910217,68,None,64,None,28,72,None,84,0.0,None,0.87
19910218,70,None,66,None,21,73,None,87,0.09,None,2.57
19910219,62,None,54,None,26,70,None,87,0.03,None,0.48
19910220,55,None,50,None,32,60,None,85,0.0,None,1.78
19910221,54,None,50,None,27,57,None,86,2.24,None,2.56
19910222,52,None,48,None,24,57,None,86,0.0,None,1.81
19910223,54,None,43,None,30,66,None,86,0.0,None,2.88
19910224,56,None,45,None,26,66,None,84,0.07,None,2.68
19910225,54,None,46,None,26,60,None,83,0.0,None,1.69
19910226,48,None,41,None,27,55,None,86,0.0,None,1.51
19910227,54,None,46,None,25,61,None,87,0.0,None,0.71
19910228,60,None,55,None,29,68,None,84,0.31,None,1.35
19910301,71,None,63,None,29,79,None,85,0.04,None,2.94
19910302,70,None,62,None,24,78,None,83,0.02,None,1.35
19910303,56,None,48,None,22,63,None,86,0.0,None,1.78
19910304,60,None,44,None,27,75,None,81,0.0,None,1.28
19910305,68,None,54,None,27,82,None,86,0.0,None,4.79
19910306,71,None,61,None,26,81,None,85,0.0,None,1.47
19910307,68,None,64,None,29,73,None,87,0.0,None,1.28
19910308,64,None,57,None,31,72,None,87,0.0,None,0.97
19910309,62,None,50,None,27,73,None,86,0.0,None,2.91
19910310,58,None,46,None,28,70,None,89,0.0,None,1.03
19910311,62,None,52,None,28,72,None,87,0.0,None,1.15
19910312,72,None,52,None,26,81,None,87,0.02,None,1.86
19910313,64,None,52,None,25,75,None,89,0.0,None,1.93
19910314,54,None,50,None,29,59,None,88,0.0,None,3.09
19910315,54,None,50,None,37,57,None,90,0.37,None,1.66
19910316,57,None,52,None,34,63,None,85,0.86,None,2.28
19910317,69,None,61,None,37,77,None,87,0.08,None,5.0
19910318,63,None,53,None,34,73,None,89,0.0,None,2.01
19910319,62,None,51,None,25,73,None,86,0.0,None,4.46
19910320,67,None,59,None,29,75,None,84,0.0,None,1.71
19910321,70,None,66,None,34,75,None,84,0.0,None,1.59
19910322,76,None,66,None,33,82,None,90,0.0,None,1.46
19910323,68,None,60,None,34,77,None,89,0.0,None,2.66
19910324,68,None,57,None,36,78,None,85,0.0,None,2.35
19910325,74,None,66,None,37,81,None,88,0.0,None,1.77
19910326,76,None,71,None,31,82,None,88,0.0,None,3.45
19910327,74,None,66,None,31,80,None,88,0.01,None,2.04
19910328,72,None,64,None,33,78,None,91,0.46,None,1.76
19910329,64,None,57,None,35,70,None,91,0.01,None,1.8
19910330,56,None,48,None,35,64,None,96,0.0,None,1.57
19910331,58,None,46,None,32,69,None,88,0.0,None,2.5
19910401,60,None,46,None,35,73,None,89,0.0,None,2.61
